Date,Title,Content,Cleaned_Speech,VADER_Score,VADER_Compound,VADER_Pos,VADER_Neg,VADER_Neu,VADER_Label,Emotions
2022-10-25 00:00:00,PM Shehbaz Sharif Addresses Saudi Future Investment Initiative Summit in Riyadh 25 10 2022,"""",,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,neutral,{}
2022-12-14 00:00:00,Joint News Conference by PM Shehbaz Sharif and President of Tajikistan Imam Ali Rehman 14 12 2022,"""",,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,neutral,{}
2022-06-01 00:00:00,PM Muhammad Shehbaz Sharif and President Recep Tayyip Erdogan  Addressing News Conference | 01 06 22,"""",,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,neutral,{}
[development] tourism,education,"logistics, civil aviation, communication, and ICT like services industries are the areas we're working to further improve our relations.",logistics civil aviation communication ict like service industry area working improve relation,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.6597}",0.6597,0.351,0.0,0.649,positive,"{'positive': 3, 'trust': 2, 'anticipation': 1, 'joy': 1}"
[general] thank you your excellency president,honourable ministers,"distinguished members of the media, ladies and gentlemen, assalamu alaikum.",distinguished member medium lady gentleman assalamu alaikum,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral,"{'positive': 1, 'trust': 1}"
[governance] the relationship between Pakistan and Turkey is embedded in common cultural,religious,"and spiritual heritage transcending boundaries of time, geography, and politics.",spiritual heritage transcending boundary time geography politics,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral,"{'trust': 1, 'anticipation': 1, 'anger': 1}"
[development] brother president there are a number of sectors such as e-commerce,tourism,"education, infrastructure development where Turkey has made exponential progress.",education infrastructure development turkey made exponential progress,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4215}",0.4215,0.318,0.0,0.682,positive,"{'anticipation': 1, 'joy': 1, 'positive': 1}"
2023-05-18 00:00:00,PM Shehbaz Sharif Addressing Notables At Pak Iran Border 18 05 2023,"""",,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,neutral,{}
[general] Today we are present here on the Pakistan-Iran border and I am not able to hear any sound,I am not able to hear any sound,"at this time I will talk to Bhai Din in the meeting, Prime Minister Mohammad Shahbaz Sharif is present here, today another golden opportunity has been added to the Pakistani relations.",time talk bhai din meeting prime minister mohammad shahbaz sharif present today another golden opportunity added pakistani relation,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.4215}",0.4215,0.141,0.0,0.859,positive,"{'anticipation': 3, 'positive': 4, 'negative': 1, 'joy': 1, 'surprise': 1, 'trust': 1}"
[cooperation] With me,Madam Madi,"more music is with me, when Sardar  is present, today we had a very wonderful conversation here with my brother Sardar Ibrahim Raasi Sahab of Iran.",music sardar present today wonderful conversation brother sardar ibrahim raasi sahab iran,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.5719}",0.5719,0.252,0.0,0.748,positive,"{'joy': 3, 'positive': 4, 'sadness': 1, 'anticipation': 1, 'surprise': 2, 'trust': 3}"
[development] And a big discussion was done on all the violet matters from the side,in this race of life,"whether it is education, information technology or any field of medicine, we should move ahead in them with great speed and today we have found this.",whether education information technology field medicine move ahead great speed today found,"{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.6249}",0.6249,0.272,0.0,0.728,positive,"{'positive': 4, 'joy': 1, 'trust': 1}"
[policy] It is that we will finalize the free trade agreement soon,Inshallah and on my photo,"my brother, the respected Iranian President, Farid and he did not believe that solar energy is a big issue and then I also sentenced there just by citing one person in this post.",brother respected iranian president farid believe solar energy big issue also sentenced citing one person post,"{'neg': 0.057, 'neu': 0.674, 'pos': 0.269, 'compound': 0.6249}",0.6249,0.269,0.057,0.674,positive,"{'positive': 2, 'trust': 2}"
[development] Its market is in the surrounding areas of the country,there will be progress and prosperity there,these trade centers will be developed.,trade center developed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neutral,"{'trust': 2, 'positive': 1}"
[cooperation] When I invited my brother,the President of Iran,"to visit Pakistan once again today and he said that in the context of Kamal Mehrabani and other matters of ours, the Pakistani delegation will go to Iran and the Iranian delegation will come to Pakistan, then I understand that today is a very important day.",visit pakistan today said context kamal mehrabani matter pakistani delegation go iran iranian delegation come pakistan understand today important day,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.2263}",0.2263,0.139,0.0,0.861,positive,"{'positive': 2, 'trust': 1}"
[action] There was a plan to build 100 MW electricity transmission lines for Gwadar,which after a lot of delays,"there is no question of any blame here, but there was a lot of delay in that, we started it with great speed, our electricity went to Iran.",question blame lot delay started great speed electricity went iran,"{'neg': 0.297, 'neu': 0.443, 'pos': 0.259, 'compound': 0.1027}",0.1027,0.259,0.297,0.443,positive,"{'positive': 2, 'anger': 2, 'disgust': 2, 'negative': 2, 'fear': 1, 'sadness': 1}"
